"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-10-02T15:50:59.717707-05:00[America/Lima]","0.0","103.07"
